,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
191,PIB Total,2002-01-02,1/2002,-0.04,0.0,1.21,-2.9,2.1,,0
192,PIB Total,2002-01-02,2/2002,1.56,1.64,0.62,0.2,2.4,,0
193,PIB Total,2002-01-02,3/2002,3.33,3.2,1.03,1.2,6.68,,0
194,PIB Total,2002-01-02,4/2002,3.85,4.0,1.31,2.0,7.78,,0
195,PIB Total,2002-01-03,4/2001,0.47,0.2,0.8,-0.8,1.9,,0
196,PIB Total,2002-01-03,1/2002,-0.01,0.19,1.19,-2.9,2.1,,0
197,PIB Total,2002-01-03,2/2002,1.58,1.64,0.62,0.2,2.4,,0
198,PIB Total,2002-01-03,3/2002,3.3,3.18,1.02,1.2,6.68,,0
199,PIB Total,2002-01-03,4/2002,3.81,3.95,1.3,2.0,7.78,,0
200,PIB Total,2002-01-04,4/2001,0.47,0.2,0.8,-0.8,1.9,,0
201,PIB Total,2002-01-04,1/2002,-0.01,0.19,1.19,-2.9,2.1,,0
202,PIB Total,2002-01-04,2/2002,1.59,1.64,0.59,0.2,2.4,,0
203,PIB Total,2002-01-04,3/2002,3.3,3.18,1.02,1.2,6.68,,0
204,PIB Total,2002-01-04,4/2002,3.82,3.95,1.3,2.0,7.78,,0
205,PIB Total,2002-01-07,4/2001,0.47,0.2,0.8,-0.8,1.9,,0
206,PIB Total,2002-01-07,1/2002,-0.01,0.19,1.19,-2.9,2.1,,0
207,PIB Total,2002-01-07,2/2002,1.59,1.64,0.59,0.2,2.4,,0
208,PIB Total,2002-01-07,3/2002,3.3,3.18,1.02,1.2,6.68,,0
209,PIB Total,2002-01-07,4/2002,3.82,3.95,1.3,2.0,7.78,,0
210,PIB Total,2002-01-08,4/2001,0.47,0.23,0.77,-0.8,1.9,,0
211,PIB Total,2002-01-08,1/2002,0.11,0.19,1.38,-2.9,4.1,,0
212,PIB Total,2002-01-08,2/2002,1.63,1.67,0.59,0.2,2.4,,0
213,PIB Total,2002-01-08,3/2002,3.31,3.2,1.0,1.2,6.68,,0
214,PIB Total,2002-01-08,4/2002,3.82,3.9,1.27,2.0,7.78,,0
215,PIB Total,2002-01-09,4/2001,0.47,0.23,0.77,-0.8,1.9,,0
216,PIB Total,2002-01-09,1/2002,0.11,0.19,1.38,-2.9,4.1,,0
217,PIB Total,2002-01-09,2/2002,1.63,1.67,0.59,0.2,2.4,,0
218,PIB Total,2002-01-09,3/2002,3.31,3.2,1.0,1.2,6.68,,0
219,PIB Total,2002-01-09,4/2002,3.82,3.9,1.27,2.0,7.78,,0
220,PIB Total,2002-01-10,4/2001,0.49,0.32,0.76,-0.8,1.9,,0
221,PIB Total,2002-01-10,1/2002,0.15,0.19,1.36,-2.9,4.1,,0
222,PIB Total,2002-01-10,2/2002,1.67,1.8,0.6,0.2,2.4,,0
223,PIB Total,2002-01-10,3/2002,3.29,3.2,1.0,1.2,6.68,,0
224,PIB Total,2002-01-10,4/2002,3.79,3.9,1.27,2.0,7.78,,0
225,PIB Total,2002-01-11,4/2001,0.49,0.32,0.76,-0.8,1.9,,0
226,PIB Total,2002-01-11,1/2002,0.15,0.19,1.35,-2.9,4.1,,0
227,PIB Total,2002-01-11,2/2002,1.68,1.8,0.61,0.2,2.5,,0
228,PIB Total,2002-01-11,3/2002,3.25,3.2,0.96,1.2,6.68,,0
229,PIB Total,2002-01-11,4/2002,3.81,3.9,1.25,2.0,7.78,,0
230,PIB Total,2002-01-14,4/2001,0.47,0.23,0.77,-0.8,1.9,,0
231,PIB Total,2002-01-14,1/2002,0.16,0.37,1.35,-2.9,4.1,,0
232,PIB Total,2002-01-14,2/2002,1.65,1.64,0.6,0.2,2.5,,0
233,PIB Total,2002-01-14,3/2002,3.25,3.18,0.98,1.2,6.68,,0
234,PIB Total,2002-01-14,4/2002,3.8,3.9,1.24,2.0,7.78,,0
235,PIB Total,2002-01-15,4/2001,0.47,0.23,0.77,-0.8,1.9,,0
236,PIB Total,2002-01-15,1/2002,0.16,0.37,1.35,-2.9,4.1,,0
237,PIB Total,2002-01-15,2/2002,1.65,1.64,0.6,0.2,2.5,,0
238,PIB Total,2002-01-15,3/2002,3.25,3.18,0.98,1.2,6.68,,0
239,PIB Total,2002-01-15,4/2002,3.8,3.9,1.24,2.0,7.78,,0
240,PIB Total,2002-01-16,4/2001,0.47,0.23,0.77,-0.8,1.9,,0
241,PIB Total,2002-01-16,1/2002,0.16,0.37,1.35,-2.9,4.1,,0
242,PIB Total,2002-01-16,2/2002,1.65,1.64,0.6,0.2,2.5,,0
243,PIB Total,2002-01-16,3/2002,3.25,3.18,0.98,1.2,6.68,,0
244,PIB Total,2002-01-16,4/2002,3.8,3.9,1.24,2.0,7.78,,0
245,PIB Total,2002-01-17,4/2001,0.47,0.23,0.77,-0.8,1.9,,0
246,PIB Total,2002-01-17,1/2002,0.16,0.37,1.35,-2.9,4.1,,0
247,PIB Total,2002-01-17,2/2002,1.64,1.64,0.6,0.2,2.5,,0
248,PIB Total,2002-01-17,3/2002,3.24,3.17,0.98,1.2,6.68,,0
249,PIB Total,2002-01-17,4/2002,3.8,3.9,1.24,2.0,7.78,,0
250,PIB Total,2002-01-18,4/2001,0.47,0.23,0.77,-0.8,1.9,,0
251,PIB Total,2002-01-18,1/2002,0.15,0.37,1.36,-2.9,4.1,,0
252,PIB Total,2002-01-18,2/2002,1.64,1.64,0.6,0.2,2.5,,0
253,PIB Total,2002-01-18,3/2002,3.25,3.17,0.97,1.2,6.68,,0
254,PIB Total,2002-01-18,4/2002,3.8,3.9,1.24,2.0,7.78,,0
255,PIB Total,2002-01-21,4/2001,0.45,0.23,0.79,-0.8,1.9,,0
256,PIB Total,2002-01-21,1/2002,0.13,0.37,1.4,-2.9,4.1,,0
257,PIB Total,2002-01-21,2/2002,1.67,1.64,0.55,0.2,2.5,,0
258,PIB Total,2002-01-21,3/2002,3.33,3.19,0.92,2.1,6.68,,0
259,PIB Total,2002-01-21,4/2002,3.83,3.9,1.26,2.0,7.78,,0
260,PIB Total,2002-01-22,4/2001,0.47,0.25,0.79,-0.8,1.9,,0
261,PIB Total,2002-01-22,1/2002,0.16,0.4,1.38,-2.9,4.1,,0
262,PIB Total,2002-01-22,2/2002,1.69,1.67,0.55,0.2,2.5,,0
263,PIB Total,2002-01-22,3/2002,3.33,3.2,0.9,2.1,6.68,,0
264,PIB Total,2002-01-22,4/2002,3.85,3.9,1.24,2.0,7.78,,0
265,PIB Total,2002-01-23,4/2001,0.47,0.25,0.79,-0.8,1.9,,0
266,PIB Total,2002-01-23,1/2002,0.16,0.4,1.38,-2.9,4.1,,0
267,PIB Total,2002-01-23,2/2002,1.69,1.67,0.55,0.2,2.5,,0
268,PIB Total,2002-01-23,3/2002,3.33,3.2,0.9,2.1,6.68,,0
269,PIB Total,2002-01-23,4/2002,3.85,3.9,1.24,2.0,7.78,,0
270,PIB Total,2002-01-24,4/2001,0.47,0.25,0.79,-0.8,1.9,,0
271,PIB Total,2002-01-24,1/2002,0.16,0.4,1.38,-2.9,4.1,,0
272,PIB Total,2002-01-24,2/2002,1.69,1.67,0.55,0.2,2.5,,0
273,PIB Total,2002-01-24,3/2002,3.33,3.2,0.9,2.1,6.68,,0
274,PIB Total,2002-01-24,4/2002,3.85,3.9,1.24,2.0,7.78,,0
275,PIB Total,2002-01-25,4/2001,0.47,0.25,0.79,-0.8,1.9,,0
276,PIB Total,2002-01-25,1/2002,0.16,0.4,1.38,-2.9,4.1,,0
277,PIB Total,2002-01-25,2/2002,1.69,1.67,0.55,0.2,2.5,,0
278,PIB Total,2002-01-25,3/2002,3.33,3.2,0.9,2.1,6.68,,0
279,PIB Total,2002-01-25,4/2002,3.85,3.9,1.24,2.0,7.78,,0
280,PIB Total,2002-01-28,4/2001,0.49,0.38,0.78,-0.8,1.9,,0
281,PIB Total,2002-01-28,1/2002,0.09,0.37,1.46,-2.9,4.1,,0
282,PIB Total,2002-01-28,2/2002,1.72,1.74,0.55,0.2,2.5,,0
283,PIB Total,2002-01-28,3/2002,3.3,3.2,0.98,1.91,6.68,,0
284,PIB Total,2002-01-28,4/2002,3.71,3.7,1.19,2.0,7.78,,0
285,PIB Total,2002-01-29,4/2001,0.47,0.32,0.78,-0.8,1.9,,0
286,PIB Total,2002-01-29,1/2002,0.05,0.19,1.46,-2.9,4.1,,0
287,PIB Total,2002-01-29,2/2002,1.69,1.74,0.56,0.2,2.5,,0
288,PIB Total,2002-01-29,3/2002,3.32,3.22,0.96,1.91,6.68,,0
289,PIB Total,2002-01-29,4/2002,3.77,3.8,1.19,2.0,7.78,,0
290,PIB Total,2002-01-30,4/2001,0.47,0.32,0.78,-0.8,1.9,,0
291,PIB Total,2002-01-30,1/2002,0.05,0.19,1.46,-2.9,4.1,,0
292,PIB Total,2002-01-30,2/2002,1.69,1.74,0.56,0.2,2.5,,0
293,PIB Total,2002-01-30,3/2002,3.32,3.22,0.96,1.91,6.68,,0
294,PIB Total,2002-01-30,4/2002,3.77,3.8,1.19,2.0,7.78,,0
295,PIB Total,2002-01-31,4/2001,0.48,0.38,0.78,-0.8,1.9,,0
296,PIB Total,2002-01-31,1/2002,0.05,0.0,1.46,-2.9,4.1,,0
297,PIB Total,2002-01-31,2/2002,1.69,1.74,0.56,0.2,2.5,,0
298,PIB Total,2002-01-31,3/2002,3.31,3.22,0.96,1.91,6.68,,0
299,PIB Total,2002-01-31,4/2002,3.75,3.7,1.19,2.0,7.78,,0
300,PIB Total,2002-02-01,4/2001,0.48,0.38,0.78,-0.8,1.9,,0
301,PIB Total,2002-02-01,1/2002,-0.12,-0.05,1.23,-2.9,2.1,,0
302,PIB Total,2002-02-01,2/2002,1.69,1.74,0.56,0.2,2.5,,0
303,PIB Total,2002-02-01,3/2002,3.34,3.23,0.95,1.91,6.68,,0
304,PIB Total,2002-02-01,4/2002,3.82,3.7,1.23,2.0,7.78,,0
